,0,1
0,0,1
1,0,2
2,0,3
3,0,4
4,0,5
5,0,6
6,0,7
7,0,8
8,0,9
9,0,10
10,0,11
11,0,12
12,0,13
13,0,14
14,0,15
15,16,17
16,16,2
17,16,3
18,16,18
19,16,5
20,16,19
21,16,6
22,16,7
23,16,8
24,16,9
25,16,10
26,16,11
27,16,20
28,16,12
29,16,21
30,16,22
31,16,14
32,16,23
33,16,24
34,16,25
35,1,17
36,1,26
37,1,3
38,1,4
39,1,18
40,1,7
41,1,27
42,1,11
43,1,20
44,1,13
45,1,15
46,1,24
47,1,28
48,1,25
49,1,29
50,17,26
51,17,3
52,17,4
53,17,18
54,17,19
55,17,7
56,17,27
57,17,8
58,17,11
59,17,20
60,17,12
61,17,22
62,17,14
63,17,15
64,17,28
65,17,25
66,17,30
67,2,3
68,2,4
69,2,18
70,2,5
71,2,6
72,2,7
73,2,27
74,2,8
75,2,9
76,2,10
77,2,20
78,2,14
79,2,24
80,26,3
81,26,5
82,26,6
83,26,7
84,26,10
85,26,11
86,26,20
87,26,14
88,26,28
89,26,25
90,3,18
91,3,5
92,3,6
93,3,7
94,3,27
95,3,31
96,3,10
97,3,11
98,3,20
99,3,28
100,3,25
101,3,32
102,3,33
103,3,34
104,4,16
105,4,6
106,4,27
107,4,11
108,4,20
109,4,24
110,4,35
111,4,36
112,18,26
113,18,27
114,18,31
115,18,10
116,18,11
117,18,37
118,18,38
119,18,13
120,18,14
121,18,24
122,18,39
123,18,29
124,18,35
125,5,6
126,5,7
127,5,14
128,5,15
129,5,24
130,5,28
131,5,33
132,19,26
133,19,3
134,19,6
135,19,7
136,19,20
137,19,14
138,19,23
139,19,25
140,19,34
141,6,11
142,6,14
143,6,15
144,6,24
145,6,28
146,7,27
147,7,14
148,7,23
149,7,34
150,7,36
151,27,26
152,27,5
153,27,6
154,27,27
155,27,8
156,27,23
157,27,24
158,27,28
159,27,25
160,27,35
161,27,33
162,27,34
163,27,40
164,31,28
165,31,25
166,31,41
167,31,32
168,31,42
169,31,43
170,31,44
171,31,45
172,31,33
173,31,34
174,31,40
175,31,46
176,8,47
177,8,48
178,9,49
179,9,47
180,9,48
181,10,5
182,10,19
183,10,6
184,10,7
185,10,8
186,10,11
187,10,20
188,10,14
189,10,15
190,10,23
191,10,24
192,11,7
193,11,27
194,11,20
195,11,15
196,11,24
197,11,28
198,11,25
199,11,36
200,20,7
201,20,14
202,20,24
203,20,28
204,20,25
205,20,36
206,50,51
207,50,52
208,50,53
209,50,54
210,50,55
211,50,56
212,50,57
213,50,58
214,59,60
215,59,61
216,59,62
217,59,63
218,59,64
219,65,66
220,65,67
221,65,68
222,65,69
223,70,63
224,70,71
225,70,72
226,70,73
227,70,74
228,75,50
229,75,76
230,75,77
231,75,78
232,75,52
233,75,79
234,75,80
235,75,81
236,75,82
237,83,84
238,83,85
239,83,61
240,83,86
241,83,87
242,83,88
243,51,77
244,51,54
245,51,55
246,51,81
247,51,89
248,60,90
249,60,64
250,60,91
